Rk,Tm▲,Year,G,W,L,T,W-L%,PF/Game,PA/Game,PC/Game,Att/game,Cmp%,yds/att,td/att,int/att,SK/ATT,Rate,Att/Game,Y/A,TD?att,Y/P,DY/P,TO/Game,Top/Game,1stD/game,Rsh1st/Game,Pass1st/game,Pen1st/game,3d/Game,3D%,4datt/game,4D%,TD/game,XP%,FGA/G,FG%,2PA/G,Pnt/Game,Y/P,OXP%,OXPM%G,OFG%,OFGM/G,OSFTG/G,OPATT/G,Cmp%,OYDS/ATT,OTD/ATT,O INT/ATT,OSK/ATT,Rate,OATT/Game,Y/A,Otd/ATT,OTOT?game,OTO/Game,Opp1stD,Opp3DConv,Opp3D%,Opp4DConv,Opp4D%,Q1/Game,Q2.game,Q3 game,Q4 game,OQ1,OQ2,OQ3,OQ4,OVER UNDER/ GAME,OU Result,,,60,COMPUTATION STATS -->,Q1,Q2,Q3,Q4,OQ1,OQ2,OQ3,OQ4,Over/Under,Opp4DAtt,Opp3DAtt,1stDOpp,Yds,TD,Int,Sk,Att,TD,TO,Tot,FGM,2PA,Pnt,XPA,XPM,Att,Md,Att,Sfty,4DAtt,Pass,Pen,3DAtt,TD,XPA,XPM,FGA,TO,Att,Rsh,ToP,1stD,TD,,Sk,PA,TD,PF,Cmp,PD,PC,Att,Yds,Int,,,,
ARI2018,ARI,2018,9.00,2.00,7.00,0.00,0.22,13.78,25.00,38.78,32.00,57.60,5.18,0.03,0.04,0.09,66.30,20.67,3.41,0.02,4.24,5.37,2.11,0.02,14.56,4.44,8.56,1.56,11.78,0.29,0.89,0.25,1.78,1.00,0.67,0.67,0.22,5.78,48.21,1.00,2.11,0.78,1.56,0.11,32.11,67.80,6.95,0.04,0.02,0.10,94.50,32.33,4.34,0.04,363.56,1.33,22.00,13.44,0.40,1.11,0.50,3.78,3.00,1.56,5.44,6.22,8.11,6.22,4.44,42.44,3.00,6.00,0.00,ARI,,34,27,14,49,56,73,56,40,382,10,121,198,2009,11,6,29,291,13,12,3272,4,2,52,19,19,18,14,289,1,8,77,14,106,16,14,14,6,19,186,40,3:53:42,131,6,,27,225,8,124,166,-101,349,288,1492,12,,,,
ATL2018,ATL,2018,9.00,4.00,5.00,0.00,0.44,27.11,28.22,55.33,40.00,71.10,7.98,0.06,0.01,0.07,112.40,22.22,4.04,0.02,6.30,6.54,0.78,0.02,23.11,5.00,16.00,2.11,13.22,0.51,1.00,0.33,3.22,0.96,1.56,1.00,0.44,3.67,41.61,0.93,2.78,1.00,1.00,0.00,38.33,70.40,7.68,0.06,0.02,0.05,104.80,23.11,5.19,0.05,414.33,1.00,24.33,11.78,0.52,0.78,0.86,3.78,11.33,2.67,9.33,5.56,6.33,6.11,9.56,50.78,6.00,3.00,0.00,55,,34,102,24,84,50,57,55,86,457,7,106,219,2650,21,8,17,208,11,9,3729,14,4,33,27,25,9,9,345,0,9,144,19,119,29,25,24,14,7,200,45,4:35:21,208,8,,24,254,21,244,256,-10,498,360,2872,3,,,,
BAL2018,BAL,2018,9.00,4.00,5.00,0.00,0.44,23.67,17.78,41.44,43.44,61.10,6.30,0.03,0.02,0.04,84.90,25.67,3.61,0.03,5.16,4.77,1.22,0.02,23.22,7.22,14.00,2.00,14.67,0.46,1.33,0.58,2.67,0.95,2.00,0.89,0.22,4.33,46.62,0.88,1.56,0.86,1.33,0.00,35.78,59.60,5.74,0.04,0.02,0.09,83.90,25.11,3.97,0.03,305.00,0.78,18.67,13.89,0.35,1.22,0.55,6.44,6.22,6.44,4.56,4.67,7.22,1.67,3.89,45.17,3.00,6.00,0.00,45,,58,56,58,41,42,65,15,35,406.5,11,125,168,1847,12,5,28,226,6,7,2745,16,2,39,16,14,14,12,322,0,12,126,18,132,24,22,21,18,11,231,65,4:35:56,209,11,,17,160,13,213,239,53,373,391,2465,6,,,,
BUF2018,BUF,2018,10.00,3.00,7.00,0.00,0.30,13.70,25.10,38.80,31.70,55.80,5.04,0.02,0.05,0.11,57.00,28.30,3.84,0.02,4.24,4.95,2.20,0.02,16.00,5.60,8.50,1.90,14.30,0.31,1.20,0.42,1.20,1.00,1.60,0.94,0.10,5.50,43.45,0.88,2.10,0.95,2.00,0.00,33.40,64.40,6.06,0.04,0.02,0.07,86.70,25.20,3.96,0.04,302.20,1.50,18.70,13.10,0.38,0.70,0.43,3.80,3.60,3.70,2.60,4.70,10.30,3.00,7.10,40.80,4.00,6.00,0.00,39,,38,36,37,26,47,103,30,71,408,7,131,187,2024,14,8,25,252,10,15,3022,15,1,55,24,21,21,20,334,0,12,85,19,143,12,12,12,16,22,283,56,5:07:57,160,7,,34,251,5,137,177,-114,388,317,1598,16,,,,
CAR2018,CAR,2018,9.00,6.00,3.00,0.00,0.67,26.78,25.78,52.56,32.56,68.60,6.72,0.06,0.02,0.06,101.30,27.11,5.11,0.04,5.80,5.83,1.00,0.02,21.56,7.22,12.89,1.44,11.33,0.40,0.89,0.63,3.33,0.92,1.22,1.00,0.44,4.11,45.41,1.00,3.00,0.75,1.00,0.00,36.11,67.10,7.15,0.07,0.03,0.07,97.90,22.67,4.37,0.03,357.22,1.67,21.11,11.33,0.40,1.44,0.54,5.00,10.56,1.44,9.78,6.11,7.56,5.78,6.33,46.00,6.00,3.00,0.00,CAR,,45,95,13,88,55,68,52,57,414,13,102,190,2324,22,11,22,204,6,15,3215,11,4,37,27,27,12,9,325,0,8,116,13,102,30,26,24,11,9,244,65,4:34:01,194,12,,17,232,17,241,201,9,473,293,1969,5,,,,
CHI2018,CHI,2018,9.00,6.00,3.00,0.00,0.67,29.89,19.44,49.33,32.22,65.50,7.55,0.07,0.02,0.06,101.60,28.11,4.27,0.03,5.83,4.98,1.22,0.02,21.33,7.00,11.44,2.89,12.44,0.43,0.78,0.57,3.67,0.94,2.00,0.72,0.11,3.78,43.59,1.00,1.89,1.00,1.11,0.00,37.44,62.60,6.29,0.05,0.05,0.09,79.80,23.33,3.60,0.01,319.56,2.67,18.22,13.89,0.34,1.56,0.64,6.44,9.78,7.33,6.33,3.11,3.33,2.78,9.89,42.94,6.00,3.00,0.00,40,,58,88,66,57,28,30,25,89,386.5,14,125,164,2120,17,16,30,210,2,24,2876,13,1,34,17,17,10,10,337,0,7,103,26,112,33,32,30,18,11,253,63,4:42:28,192,10,,18,175,19,269,190,94,444,290,2190,7,,,,
CIN2018,CIN,2018,9.00,5.00,4.00,0.00,0.56,26.11,32.00,58.11,35.44,63.60,6.85,0.06,0.03,0.06,91.40,20.56,4.61,0.03,5.80,6.35,1.22,0.02,20.33,5.22,13.22,1.89,10.67,0.39,0.78,0.57,3.33,0.97,1.22,0.82,0.11,4.22,42.66,0.97,3.22,0.89,1.89,0.00,40.89,66.80,7.66,0.06,0.03,0.06,98.40,28.33,4.98,0.04,454.56,1.44,26.44,14.44,0.56,1.22,0.55,6.56,8.44,3.00,8.11,3.44,15.56,6.33,6.67,49.83,6.00,3.00,0.00,45,,59,76,27,73,31,140,57,60,448.5,11,130,238,2820,21,10,21,255,11,13,4091,9,1,38,30,29,19,17,368,0,7,119,17,96,30,29,28,11,11,185,47,4:01:56,183,8,,20,288,18,235,203,-53,523,319,2186,10,,,,
CLE2018,CLE,2018,10.00,3.00,6.00,1.00,0.35,21.80,26.30,48.10,37.10,58.80,5.99,0.04,0.03,0.09,80.90,27.60,4.83,0.03,5.21,5.81,1.30,0.02,19.60,6.30,11.20,2.10,14.60,0.33,1.40,0.43,2.60,0.76,1.80,0.72,0.90,6.50,44.35,0.93,2.60,0.71,1.50,0.10,41.50,62.40,6.93,0.04,0.03,0.06,84.30,28.40,4.65,0.05,419.70,2.50,24.40,13.30,0.37,0.90,0.67,2.40,5.10,6.50,7.50,3.00,9.30,6.70,6.70,47.00,5.00,5.00,0.00,44,,24,51,65,75,30,93,67,67,470,9,133,244,2876,16,13,24,284,14,25,4197,13,9,65,28,26,21,15,415,1,14,112,21,146,26,17,13,18,13,276,63,5:06:44,196,11,,35,263,15,218,218,-45,481,371,2222,10,,,,
DAL2018,DAL,2018,9.00,4.00,5.00,0.00,0.44,20.11,19.00,39.11,30.44,63.90,6.37,0.04,0.02,0.12,90.40,26.78,4.98,0.03,5.39,5.28,1.11,0.02,19.00,7.44,10.00,1.56,13.11,0.36,1.33,0.67,2.00,1.00,2.44,0.82,0.11,4.11,44.11,1.00,2.00,0.87,1.44,0.00,32.67,69.70,7.10,0.04,0.01,0.09,101.30,26.78,3.61,0.02,328.56,1.00,18.89,13.11,0.44,0.78,0.29,4.33,5.67,2.89,7.22,1.56,6.33,3.67,7.11,42.11,4.00,5.00,0.00,60,,39,51,26,65,14,57,33,64,379,7,118,170,2087,12,3,25,241,6,9,2957,18,1,37,18,18,15,13,294,0,12,90,14,118,18,17,17,22,10,241,67,4:32:56,171,7,,32,171,11,181,175,10,352,274,1746,5,,,,
DEN2018,DEN,2018,9.00,3.00,6.00,0.00,0.33,22.78,23.67,46.44,36.78,63.70,6.81,0.04,0.03,0.07,85.30,24.56,5.16,0.03,5.89,5.74,1.33,0.02,21.00,7.22,11.89,1.89,12.89,0.35,1.11,0.60,2.67,1.00,1.78,0.81,0.22,5.22,43.64,0.88,2.33,0.80,1.78,0.00,33.00,63.00,7.04,0.05,0.03,0.09,93.20,27.33,4.81,0.03,364.00,1.33,18.78,13.33,0.38,0.78,0.57,7.22,5.67,4.56,5.33,4.67,8.78,6.11,4.11,46.78,3.00,5.00,1.00,40,,65,51,41,48,42,79,55,37,421,7,120,169,2092,16,8,28,246,8,12,3276,13,2,47,24,21,20,16,297,0,10,107,17,116,24,22,22,16,12,221,65,4:23:57,189,10,,24,213,12,205,211,-8,418,331,2254,10,,,,
